t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
17.707,1211.65,3307.27,1626.27,26.9,REFRACTORY,open,
17.748,1200.27,3397.13,1751.99,10.9,REFRACTORY,open,
17.796,1047.07,3453.23,1820.61,10.1,REFRACTORY,open,
17.843,1223.11,3341.19,1694.48,30.8,REFRACTORY,open,
17.892,1028.63,3306.59,1694.56,39.9,REFRACTORY,open,
17.937,1267.56,3261.64,1700.88,51.8,REFRACTORY,open,
17.984,1017.03,3256.60,1723.22,58.2,REFRACTORY,open,
18.030,1284.77,3264.40,1713.83,48.8,REFRACTORY,open,
18.078,1098.75,3265.51,1707.35,47.2,REFRACTORY,open,
18.125,1264.55,3279.81,1706.34,35.2,REFRACTORY,open,
18.174,1146.31,3299.24,1739.72,21.4,REFRACTORY,open,
18.220,1183.76,3362.75,1800.99,11.0,REFRACTORY,open,
18.268,1118.68,3441.94,1878.05,5.5,REFRACTORY,open,
18.313,1114.71,3505.17,1939.46,18.3,REFRACTORY,open,
18.361,1185.77,3508.26,1923.75,32.8,REFRACTORY,open,
18.406,1066.35,3493.19,1946.05,46.1,REFRACTORY,open,
18.454,1257.01,3505.90,1927.10,61.5,REFRACTORY,open,
18.502,1097.45,3535.60,1906.23,70.5,REFRACTORY,open,
18.550,1313.67,3552.79,1869.59,71.0,REFRACTORY,open,
18.596,1103.80,3469.00,1841.84,69.3,REFRACTORY,open,
18.643,1345.52,3405.09,1832.39,69.1,REFRACTORY,open,
18.684,1394.75,3597.17,2043.16,169.0,REFRACTORY,open,
18.736,1759.78,4539.70,3088.78,538.7,REFRACTORY,open,
18.784,1605.98,4766.53,3523.26,293.8,REFRACTORY,open,
18.835,1850.41,2847.92,2607.64,139.2,REFRACTORY,open,
18.873,1623.57,2198.58,1855.37,48.0,REFRACTORY,open,
18.926,1875.68,2269.06,1881.24,68.4,REFRACTORY,open,
18.968,1778.99,2405.82,1960.98,109.0,REFRACTORY,open,
19.017,1984.30,2583.71,2170.51,177.5,REFRACTORY,open,
19.064,1974.87,2777.79,2395.45,193.4,REFRACTORY,open,
19.112,2057.37,2459.16,2613.79,166.0,REFRACTORY,open,
19.158,2113.83,2195.03,2304.54,136.8,REFRACTORY,open,
19.207,1954.69,1781.50,1700.35,95.7,REFRACTORY,open,
19.246,2162.25,1532.41,1316.18,63.0,REFRACTORY,open,
19.297,1951.67,1342.18,1064.61,33.4,REFRACTORY,open,
19.343,2142.51,1378.46,1121.67,9.9,REFRACTORY,open,
19.389,1834.86,1391.19,1211.15,10.8,REFRACTORY,open,
19.438,2115.48,1343.71,1213.23,22.6,REFRACTORY,open,
19.486,1850.65,1378.27,1242.33,28.0,REFRACTORY,open,
19.533,2093.47,1373.55,1223.69,29.9,REFRACTORY,open,
19.580,1909.21,1414.55,1180.35,29.8,REFRACTORY,open,
19.627,2003.64,1304.46,1165.99,29.8,REFRACTORY,open,
19.677,1979.03,2328.47,2646.95,29.2,REFRACTORY,open,
19.824,1867.97,2100.27,984.60,8.2,REFRACTORY,open,
19.876,1969.22,2046.26,1065.88,4.1,REFRACTORY,open,
19.920,1814.64,2226.29,1343.69,9.9,REFRACTORY,open,
19.966,1970.47,2543.39,1881.15,14.5,REFRACTORY,open,
20.017,1823.88,2773.13,2160.64,19.8,REFRACTORY,open,
20.058,2107.05,2789.87,2050.81,25.9,REFRACTORY,open,
20.105,1857.91,2951.74,1912.47,30.0,REFRACTORY,open,
20.153,1974.05,3070.83,1853.32,31.1,REFRACTORY,open,
20.202,1564.57,3341.72,1837.23,37.0,REFRACTORY,open,
20.255,1887.79,3803.61,2047.58,40.2,REFRACTORY,open,
20.294,1562.01,3890.47,2032.64,41.4,REFRACTORY,open,
20.347,1797.82,3801.37,2064.00,46.4,REFRACTORY,open,
20.387,1430.29,3765.08,2042.83,47.4,REFRACTORY,open,
20.453,1589.45,3736.54,2032.53,50.8,REFRACTORY,open,
20.495,1179.57,3703.32,1991.51,48.1,REFRACTORY,open,
20.536,1363.74,3688.96,2001.38,49.0,REFRACTORY,open,
20.575,1283.61,3643.97,1986.70,50.7,REFRACTORY,open,
20.620,1130.62,3617.19,1982.02,51.0,REFRACTORY,open,
20.673,1367.56,3592.89,1975.70,48.9,REFRACTORY,open,
20.715,1192.97,3581.03,1953.66,47.3,REFRACTORY,open,
20.761,1501.35,3560.26,1928.84,41.1,REFRACTORY,open,
20.822,1262.98,3546.02,1946.07,44.1,REFRACTORY,open,
20.861,1490.56,3539.06,1940.61,44.8,REFRACTORY,open,
20.916,1250.36,3535.49,1914.12,43.1,REFRACTORY,open,
20.954,1450.55,3541.88,1894.15,42.9,REFRACTORY,open,
20.999,1283.70,3568.73,1880.84,38.9,REFRACTORY,open,
